sample	pre.ccf	on.ccf	pre.ccf.pyc	on.ccf.pyc	pre.ccf.abs	on.ccf.abs	pre.ccf.pyc.ci	on.ccf.pyc.ci	pre.is.neo	on.is.neo	gene	clonal	clonal2
Pt10_12_11506830_T_C	Pt10	1.3692312586394	1.2483748789504	0.638542591573	0.626579349013	0.83	1	1.3692312586394	1.2483748789504	0	0	PRB1	clonal both	no selection
Pt10_12_112688167_A_C	Pt10	1.35394499853004	0	0.778249844869	0	1	0	1.35394499853004	0	0	0	0	lost clonal pre2on	negative selection
Pt10_13_20056679_T_G	Pt10	0.254835449191644	0	0.17375476669	0	0.19	0	0.254835449191644	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_13_20056686_T_C	Pt10	0.255617583275284	0	0.174089205004	0	0.21	0	0.255617583275284	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_13_99127187_T_C	Pt10	1.23527761952468	1.18419203092024	0.908975614109	0.796357513435	0.93	1	1.23527761952468	1.18419203092024	0	0	STK24	clonal both	no selection
Pt10_13_114150066_T_A	Pt10	1.12243327429132	0.86692753811052	0.523190940442	0.413651323185	0.64	0.68	1.12243327429132	0.86692753811052	0	0	TMCO3	decreased pre2on	negative selection
Pt10_14_21852110_G_A	Pt10	1.23365432238948	1.16582080669636	0.883293813824	0.69983325446	0.85	0.88	1.23365432238948	1.16582080669636	0	0	SUPT16H	clonal both	no selection
Pt10_14_23548130_T_C	Pt10	1.20853752843664	1.16317126643544	0.917188191749	0.7639221088	0.91	0.98	1.20853752843664	1.16317126643544	0	0	ACIN1	clonal both	no selection
Pt10_14_23652039_A_G	Pt10	1.0125469588282	0.998297037686156	0.977014363681	0.883360531664	1	1	1.0125469588282	0.998297037686156	1	1	SLC7A8	clonal both	no selection
Pt10_14_23887583_C_T	Pt10	0.308551646958	0	0.185158892487	0	0.27	0	0.308551646958	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_14_23887595_G_A	Pt10	0.3340981055538	0	0.192075914506	0	0.31	0	0.3340981055538	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_14_31792893_C_T	Pt10	1.01022346526052	0.974311059680384	0.978134020896	0.880830158307	1	1	1.01022346526052	0.974311059680384	1	1	HEATR5A	clonal both	no selection
Pt10_15_53833257_T_C	Pt10	1.30626833495484	0	0.631656762263	0	0.72	0	1.30626833495484	0	0	0	0	lost clonal pre2on	negative selection
Pt10_15_100211761_C_T	Pt10	0.42731003530496	0	0.229207318099	0	0.41	0	0.42731003530496	0	1	0	0	lost subclonal pre2on	negative selection
Pt10_15_100211780_A_G	Pt10	0.5360652871722	0.360931636397892	0.267845147484	0.236997312097	0.52	0.31	0.5360652871722	0.360931636397892	1	1	MEF2A	subclonal both	no selection
Pt10_16_4164423_T_A	Pt10	1.37424880756176	1.25747873475188	0.837835048179	0.725118799177	1	1	1.37424880756176	1.25747873475188	0	0	ADCY9	clonal both	no selection
Pt10_16_12798811_C_A	Pt10	1.355327210796	1.2575121474324	0.781037531532	0.682257207388	1	1	1.355327210796	1.2575121474324	1	1	CPPED1	clonal both	no selection
Pt10_16_28511194_C_T	Pt10	0.276852615339852	0	0.175249670352	0	0.19	0	0.276852615339852	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_16_51175658_T_C	Pt10	0.262741451658112	0.315551380558692	0.177805523581	0.21045444955	0.22	0.25	0.262741451658112	0.315551380558692	0	0	SALL1	subclonal both	no selection
Pt10_16_66885604_A_T	Pt10	1.13150542754543	1.14828626080356	0.943039484385	0.610589268243	1	1	1.13150542754543	1.14828626080356	1	1	CA7	clonal both	no selection
Pt10_16_69964162_G_T	Pt10	1.07059204823454	1.00863354803136	0.93934058264	0.918114332077	1	1	1.07059204823454	1.00863354803136	0	0	WWP2	clonal both	no selection
Pt10_16_84778297_T_A	Pt10	1.01694233817319	0.993693740438236	0.973450842497	0.894115548146	1	1	1.01694233817319	0.993693740438236	0	0	USP10	clonal both	no selection
Pt10_17_3916795_G_C	Pt10	1.0351720528622	1.01032776473486	0.967596998945	0.852930178309	0.98	0.98	1.0351720528622	1.01032776473486	0	0	ZZEF1	clonal both	no selection
Pt10_17_11501853_A_C	Pt10	0.69216915974808	0	0.300444804548	0	NA	0	0.69216915974808	0	1	0	0	lost subclonal pre2on	negative selection
Pt10_17_33951581_C_A	Pt10	1.02868323601632	1.00980882084306	0.97102579805	0.892787146923	1	1	1.02868323601632	1.00980882084306	0	0	AP2B1	clonal both	no selection
Pt10_17_35900532_C_A	Pt10	1.0887221970576	1.00598546258278	0.809034962533	0.86959405872	0.68	1	1.0887221970576	1.00598546258278	1	1	SYNRG	clonal both	no selection
Pt10_17_43005654_G_T	Pt10	1.04364275327242	1.03966204898964	0.963566270125	0.81957998918	0.95	0.88	1.04364275327242	1.03966204898964	0	0	KIF18B	clonal both	no selection
Pt10_17_45006903_A_G	Pt10	1.41761476504312	0.98909121109476	0.673800936599	0.454614647945	1	0.69	1.41761476504312	0.98909121109476	0	0	GOSR2	clonal both	no selection
Pt10_17_45664593_C_T	Pt10	0.89509786804036	0.94980324158456	0.342100015126	0.420119342406	0.62	0.64	0.89509786804036	0.94980324158456	0	0	NPEPPS	subclonal both	no selection
Pt10_17_57126659_T_C	Pt10	1.01824182647942	0.954289751040592	0.973664494568	0.824737869892	1	1	1.01824182647942	0.954289751040592	0	0	TRIM37	clonal both	no selection
Pt10_17_67250538_C_A	Pt10	1.39846413642024	1.22259653668032	0.674722271817	0.624657906141	0.88	0.83	1.39846413642024	1.22259653668032	1	1	ABCA5	clonal both	no selection
Pt10_19_8999395_T_C	Pt10	0.356543723694288	0	0.200580286322	0	0.34	0	0.356543723694288	0	1	0	0	lost subclonal pre2on	negative selection
Pt10_19_20807292_C_T	Pt10	0.292671212748904	0.402470023148748	0.181455207252	0.242135743022	0.26	0.35	0.292671212748904	0.402470023148748	1	1	ZNF626	subclonal both	no selection
Pt10_19_53612729_G_T	Pt10	1.33975360610028	0.391107583105988	0.82196039716	0.243097516382	0.8	0.36	1.33975360610028	0.391107583105988	1	1	ZNF415	decreased pre2on	negative selection
Pt10_19_56206609_C_T	Pt10	1.27999002288904	1.19048490244076	0.874176697638	0.809063979693	1	1	1.27999002288904	1.19048490244076	1	1	EPN1	clonal both	no selection
Pt10_19_56206612_G_C	Pt10	1.2608306754614	1.19235555664024	0.902195608236	0.806809264528	1	1	1.2608306754614	1.19235555664024	1	1	EPN1	clonal both	no selection
Pt10_19_58352689_A_T	Pt10	1.21224703067408	1.18555347283228	0.929993756137	0.809211438036	1	1	1.21224703067408	1.18555347283228	0	0	ZNF587B	clonal both	no selection
Pt10_19_58864679_G_T	Pt10	1.33211132034588	1.1974798592588	0.805706418765	0.79712992796	0.8	1	1.33211132034588	1.1974798592588	1	1	A1BG	clonal both	no selection
Pt10_2_56098015_C_T	Pt10	1.15546817639332	1.09422723687436	0.941854567123	0.808602530532	1	1	1.15546817639332	1.09422723687436	1	1	EFEMP1	clonal both	no selection
Pt10_2_109371659_G_A	Pt10	0.322163413649584	0	0.189818847159	0	0.32	0	0.322163413649584	0	1	0	0	lost subclonal pre2on	negative selection
Pt10_2_152321678_G_C	Pt10	0.60264291110028	1.10992940288012	0.255625259749	0.524141126813	0.54	0.73	0.60264291110028	1.10992940288012	0	0	RIF1	increased pre2on	positive selection
Pt10_2_210658516_C_A	Pt10	1.28243415100316	1.19690185284468	0.554138386626	0.602409335679	0.79	0.82	1.28243415100316	1.19690185284468	0	0	UNC80	clonal both	no selection
Pt10_22_20100709_G_A	Pt10	1.04158043249732	1.20485515452352	0.398959390261	0.607228806384	NA	0.95	1.04158043249732	1.20485515452352	1	1	TRMT2A	clonal both	no selection
Pt10_22_35661554_G_A	Pt10	0.3252876596987	0	0.186957444059	0	0.29	0	0.3252876596987	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_22_37966598_T_C	Pt10	1.22721977787616	1.125146686532	0.900114421894	0.820727803841	1	1	1.22721977787616	1.125146686532	0	0	LGALS2	clonal both	no selection
Pt10_3_49395482_G_C	Pt10	0.25224069202152	0	0.17037043791	0	0.17	0	0.25224069202152	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_3_119347631_A_C	Pt10	1.07214935928007	1.01505313488303	0.949691238388	0.835068520843	1	1	1.07214935928007	1.01505313488303	0	0	PLA1A	clonal both	no selection
Pt10_3_119378815_T_G	Pt10	1.25229649868832	0	0.899712330229	0	1	0	1.25229649868832	0	0	0	0	lost clonal pre2on	negative selection
Pt10_3_158376808_G_A	Pt10	1.187712199368	1.15050538858364	0.938296863268	0.828547165595	1	1	1.187712199368	1.15050538858364	0	0	GFM1	clonal both	no selection
Pt10_3_195508789_C_T	Pt10	1.34279362743332	1.19891263388168	0.673082216808	0.77306652361	NA	1	1.34279362743332	1.19891263388168	0	0	MUC4	clonal both	no selection
Pt10_3_195512069_G_T	Pt10	0.46253193934268	0	0.241314628572	0	0.44	0	0.46253193934268	0	1	0	0	lost subclonal pre2on	negative selection
Pt10_3_196509522_C_G	Pt10	0.29738083302778	0	0.185016589102	0	0.26	0	0.29738083302778	0	1	0	0	lost subclonal pre2on	negative selection
Pt10_4_36295191_C_T	Pt10	1.40595102223132	1.07701692578192	0.673343708123	0.481592688818	0.99	1	1.40595102223132	1.07701692578192	0	0	DTHD1	clonal both	no selection
Pt10_4_39448587_G_A	Pt10	1.24156896035316	1.13501859211564	0.512933718733	0.525235217513	1	1	1.24156896035316	1.13501859211564	0	0	KLB	clonal both	no selection
Pt10_4_80329190_T_C	Pt10	1.20468461258684	0.55751888251028	0.926697876867	0.292997296832	0.98	0.5	1.20468461258684	0.55751888251028	0	0	GK2	decreased pre2on	negative selection
Pt10_5_2751310_G_T	Pt10	1.27138543613732	0	0.530703034239	0	NA	0	1.27138543613732	0	1	0	0	lost clonal pre2on	negative selection
Pt10_5_82817145_T_C	Pt10	1.19930375479944	1.15513299203152	0.930053585829	0.831121727886	1	1	1.19930375479944	1.15513299203152	1	1	VCAN	clonal both	no selection
Pt10_5_115238605_G_A	Pt10	0.295581170943184	0	0.188034325052	0	0.25	0	0.295581170943184	0	1	0	0	lost subclonal pre2on	negative selection
Pt10_5_115238635_T_C	Pt10	0.261119122835812	0	0.17697883244	0	0.2	0	0.261119122835812	0	0	0	0	lost subclonal pre2on	negative selection
Pt10_5_140237081_C_T	Pt10	1.19182743056568	1.14695779065756	0.925595145049	0.74702086158	0.89	0.91	1.19182743056568	1.14695779065756	1	1	PCDHA10	clonal both	no selection
Pt10_5_156376749_G_C	Pt10	1.01848900627338	1.00587291111933	0.973954407054	0.914561444573	1	1	1.01848900627338	1.00587291111933	0	0	TIMD4	clonal both	no selection
Pt10_6_4042730_C_A	Pt10	1.41190175254788	1.24137383720808	0.692427416801	0.660284896927	0.98	1	1.41190175254788	1.24137383720808	1	1	PRPF4B	clonal both	no selection
Pt10_6_30955066_A_G	Pt10	1.34908210942296	0	0.620540613711	0	0.81	0	1.34908210942296	0	0	0	0	lost clonal pre2on	negative selection
Pt10_6_31474930_A_G	Pt10	0.3401696171058	0.352664265924932	0.192190551379	0.224612086437	0.31	0.34	0.3401696171058	0.352664265924932	1	1	MICB	subclonal both	no selection
Pt10_6_32552081_A_G	Pt10	0.372093945604892	0	0.200406828153	0	0.34	0	0.372093945604892	0	1	0	0	lost subclonal pre2on	negative selection
Pt10_6_32552085_G_C	Pt10	0.4063663561562	0	0.208777817326	0	0.37	0	0.4063663561562	0	1	0	0	lost subclonal pre2on	negative selection
Pt10_6_70639548_C_T	Pt10	0.246880821991008	0	0.164246083986	0	0.16	0	0.246880821991008	0	1	0	0	lost subclonal pre2on	negative selection
Pt10_6_116783390_A_G	Pt10	1.11166119096079	1.01684893990542	0.943276685509	0.886256398032	1	1	1.11166119096079	1.01684893990542	1	1	FAM26F	clonal both	no selection
Pt10_6_153078323_G_A	Pt10	1.39148847606184	1.22692152218524	0.682374763327	0.640086147631	0.88	0.97	1.39148847606184	1.22692152218524	0	0	VIP	clonal both	no selection
Pt10_7_23292918_T_C	Pt10	1.288069884334	1.19203286030416	0.885826442027	0.639628348478	0.99	0.79	1.288069884334	1.19203286030416	0	0	GPNMB	clonal both	no selection
Pt10_7_100349919_T_C	Pt10	0.27084304967204	0.378680357696004	0.179190127082	0.245850688286	0.23	0.36	0.27084304967204	0.378680357696004	0	0	ZAN	subclonal both	no selection
Pt10_7_100551626_T_C	Pt10	1.33069412824948	0	0.84921374225	0	0.99	0	1.33069412824948	0	0	0	0	lost clonal pre2on	negative selection
Pt10_7_103180865_C_T	Pt10	1.01736887821012	1.00312827729574	0.974763003454	0.910491246982	1	1	1.01736887821012	1.00312827729574	0	0	RELN	clonal both	no selection
Pt10_8_12293832_C_G	Pt10	1.31890842616712	1.21514363591748	0.664093332758	0.702543552239	0.73	1	1.31890842616712	1.21514363591748	0	0	FAM86B2	clonal both	no selection
Pt10_8_24168918_T_C	Pt10	1.25936972493004	1.15316557036696	0.859743945435	0.836494566121	0.79	1	1.25936972493004	1.15316557036696	0	0	ADAM28	clonal both	no selection
Pt10_8_82592894_G_A	Pt10	1.29698502188108	1.18333586995056	0.593352488407	0.737006913737	1	1	1.29698502188108	1.18333586995056	1	1	IMPA1	clonal both	no selection
Pt10_8_89053737_T_G	Pt10	1.34761327444624	0	0.815164442844	0	1	0	1.34761327444624	0	0	0	0	lost clonal pre2on	negative selection
Pt10_8_110455176_T_G	Pt10	1.21171021878772	0	0.906180251528	0	1	0	1.21171021878772	0	0	0	0	lost clonal pre2on	negative selection
Pt10_8_118147584_A_G	Pt10	0.87170530516192	1.1034469039896	0.338458676516	0.521019704448	0.59	0.83	0.87170530516192	1.1034469039896	0	0	SLC30A8	increased pre2on	positive selection
Pt10_9_116151973_A_G	Pt10	1.31803190048044	1.18767940123112	0.750523049439	0.79283831984	0.76	0.98	1.31803190048044	1.18767940123112	0	0	ALAD	clonal both	no selection
Pt10_X_9733835_G_A	Pt10	NA	NA	NA	NA	0.85	0.8	NA	NA	0	0	GPR143	NA	NA
Pt10_X_30327383_C_G	Pt10	NA	NA	NA	NA	1	1	NA	NA	0	0	NR0B1	NA	NA
Pt10_X_48243999_C_G	Pt10	NA	0	NA	0	0.45	0	NA	0	0	0	0	NA	NA
Pt10_X_75397541_G_A	Pt10	NA	NA	NA	NA	1	1	NA	NA	0	0	PBDC1	NA	NA
Pt10_1_248801912_C_G	Pt10	0	0.53678658544268	0	0.268282405518	0	0.46	0	0.53678658544268	0	0	OR2T35	novel subclonal in on	positive selection
Pt10_11_1262973_C_T	Pt10	0	1.12273005569832	0	0.530504005291	0	0.8	0	1.12273005569832	0	0	MUC5B	novel clonal in on	positive selection
Pt10_11_1619222_C_T	Pt10	0	0.41204982687168	0	0.241674378032	0	0.33	0	0.41204982687168	0	0	KRTAP5-2	novel subclonal in on	positive selection
Pt10_11_7660978_G_T	Pt10	0	1.20969697330952	0	0.608488444939	0	0.95	0	1.20969697330952	0	1	PPFIBP2	novel clonal in on	positive selection
Pt10_11_45957290_G_T	Pt10	0	1.18558523156064	0	0.597602116208	0	0.85	0	1.18558523156064	0	0	PHF21A	novel clonal in on	positive selection
Pt10_12_99007745_C_T	Pt10	0	0.361610855886112	0	0.22190340396	0	0.28	0	0.361610855886112	0	1	IKBIP	novel subclonal in on	positive selection
Pt10_12_133084767_G_A	Pt10	0	0.430442980118568	0	0.25072954068	0	0.35	0	0.430442980118568	0	0	FBRSL1	novel subclonal in on	positive selection
Pt10_14_93118356_A_C	Pt10	0	1.16279798891716	0	0.625247590568	0	0.82	0	1.16279798891716	0	0	RIN3	novel clonal in on	positive selection
Pt10_16_9057131_C_G	Pt10	0	0.64948249454304	0	0.304797996212	0	0.51	0	0.64948249454304	0	0	USP7	novel subclonal in on	positive selection
Pt10_17_78397312_T_C	Pt10	0	0.58914719403384	0	0.277059462259	0	NA	0	0.58914719403384	0	0	ENDOV	novel subclonal in on	positive selection
Pt10_19_22951145_C_A	Pt10	0	0.64056015320268	0	0.321676129456	0	0.53	0	0.64056015320268	0	0	ZNF99	novel subclonal in on	positive selection
Pt10_2_129025758_C_A	Pt10	0	0.396632015665864	0	0.236940905566	0	0.35	0	0.396632015665864	0	1	HS6ST1	novel subclonal in on	positive selection
Pt10_3_149193686_G_C	Pt10	0	0.315687661436072	0	0.196959614339	0	0.2	0	0.315687661436072	0	0	TM4SF4	novel subclonal in on	positive selection
Pt10_5_1878514_C_T	Pt10	0	0.92852333727844	0	0.397511790738	0	0.62	0	0.92852333727844	0	1	IRX4	novel subclonal in on	positive selection
Pt10_5_55243420_T_A	Pt10	0	1.2135044212838	0	0.707201954331	0	0.9	0	1.2135044212838	0	0	IL6ST	novel clonal in on	positive selection
Pt10_5_175528584_C_T	Pt10	0	0.365595653269284	0	0.230806706917	0	0.26	0	0.365595653269284	0	1	FAM153B	novel subclonal in on	positive selection
Pt10_6_31475002_C_T	Pt10	0	0.435183438209496	0	0.258460941637	0	0.46	0	0.435183438209496	0	0	MICB	novel subclonal in on	positive selection
Pt10_6_31475056_G_A	Pt10	0	0.406576326324524	0	0.23979589121	0	0.4	0	0.406576326324524	0	1	MICB	novel subclonal in on	positive selection
Pt10_6_32632769_T_C	Pt10	0	1.2275969846132	0	0.640040467502	0	1	0	1.2275969846132	0	1	HLA-DQB1	novel clonal in on	positive selection
Pt10_7_29874388_G_C	Pt10	0	1.16401001288852	0	0.802437814521	0	1	0	1.16401001288852	0	0	WIPF3	novel clonal in on	positive selection
Pt10_7_45123065_G_A	Pt10	0	0.418107437423972	0	0.257910428613	0	0.41	0	0.418107437423972	0	0	NACAD	novel subclonal in on	positive selection
Pt10_7_100551646_A_G	Pt10	0	1.22420411570312	0	0.704794110938	0	1	0	1.22420411570312	0	1	MUC3A	novel clonal in on	positive selection
Pt10_9_35561928_T_A	Pt10	0	1.20177905476416	0	0.791536249667	0	1	0	1.20177905476416	0	0	FAM166B	novel clonal in on	positive selection
Pt10_9_41954504_C_T	Pt10	0	0.318251350225824	0	0.206786643706	0	0.24	0	0.318251350225824	0	0	GLIDR	novel subclonal in on	positive selection
Pt10_9_43853546_C_T	Pt10	0	1.2242459857754	0	0.719602627296	0	1	0	1.2242459857754	0	0	CNTNAP3B	novel clonal in on	positive selection
Pt10_9_133226874_G_A	Pt10	0	0.66421880465836	0	0.329019641916	0	0.54	0	0.66421880465836	0	1	HMCN2	novel subclonal in on	positive selection
Pt10_X_125685728_C_G	Pt10	0	NA	0	NA	0	0.21	0	NA	0	0	DCAF12L1	NA	NA
Pt100_1_89449037_C_A	Pt100	0.51590096243656	0	0.312506208363	0	0.59	0	0.51590096243656	0	1	0	0	lost subclonal pre2on	negative selection
Pt100_1_152186020_A_G	Pt100	1.05000863479424	0	0.639311235631	0	NA	0	1.05000863479424	0	0	0	0	lost clonal pre2on	negative selection
Pt100_1_152186023_A_G	Pt100	1.08543890359672	0	0.71778842228	0	NA	0	1.08543890359672	0	1	0	0	lost clonal pre2on	negative selection
Pt100_1_152186038_A_C	Pt100	1.09911027224852	1.07859980630448	0.752695506619	0.686464964943	NA	NA	1.09911027224852	1.07859980630448	0	0	HRNR	clonal both	no selection
Pt100_12_11506647_T_C	Pt100	0.56536250220192	0.43689461200224	0.309117634298	0.23336151881	0.62	0.35	0.56536250220192	0.43689461200224	0	0	PRB1	subclonal both	no selection
Pt100_13_34398073_T_A	Pt100	0.42072585361224	0	0.224466486922	0	0.43	0	0.42072585361224	0	0	0	0	lost subclonal pre2on	negative selection
Pt100_14_70924335_C_T	Pt100	0.59723338132004	0	0.33025583331	0	0.57	0	0.59723338132004	0	1	0	0	lost subclonal pre2on	negative selection
Pt100_17_45216135_G_A	Pt100	0.40995569458552	0	0.207742305422	0	0.39	0	0.40995569458552	0	0	0	0	lost subclonal pre2on	negative selection
Pt100_19_48981824_A_G	Pt100	0.57103581197948	0	0.297333714005	0	0.59	0	0.57103581197948	0	1	0	0	lost subclonal pre2on	negative selection
Pt100_20_46279860_G_A	Pt100	0.324024437193208	0	0.179170806567	0	0.33	0	0.324024437193208	0	0	0	0	lost subclonal pre2on	negative selection
Pt100_22_32756684_C_A	Pt100	0.63084537397012	0.67282424851076	0.373105380101	0.402827304415	0.75	0.63	0.63084537397012	0.67282424851076	0	0	RFPL3	subclonal both	no selection
Pt100_5_50055473_G_T	Pt100	1.09321765883832	0	0.846798828819	0	1	0	1.09321765883832	0	0	0	0	lost clonal pre2on	negative selection
Pt100_8_109498736_A_T	Pt100	0.95325363384744	0	0.580267965926	0	1	0	0.95325363384744	0	0	0	0	lost clonal pre2on	negative selection
Pt100_9_20414313_G_A	Pt100	0.347381142704524	0	0.198863337262	0	0.37	0	0.347381142704524	0	0	0	0	lost subclonal pre2on	negative selection
Pt100_X_104464285_C_T	Pt100	NA	0	NA	0	NA	0	NA	0	0	0	0	NA	NA
Pt100_1_173795821_A_T	Pt100	0	0.395443813600032	0	0.220532030704	0	0.33	0	0.395443813600032	0	0	DARS2	novel subclonal in on	positive selection
Pt100_12_11506654_C_T	Pt100	0	0.46351267036456	0	0.252555233947	0	0.38	0	0.46351267036456	0	0	PRB1	novel subclonal in on	positive selection
Pt100_12_50747102_A_G	Pt100	0	0.45561357217244	0	0.253274755108	0	0.38	0	0.45561357217244	0	0	FAM186A	novel subclonal in on	positive selection
Pt100_13_20000660_A_G	Pt100	0	0.40858843147364	0	0.211839251199	0	NA	0	0.40858843147364	0	0	TPTE2	novel subclonal in on	positive selection
Pt100_14_93118237_A_C	Pt100	0	1.00277532304888	0	0.626662017832	0	1	0	1.00277532304888	0	0	RIN3	novel clonal in on	positive selection
Pt100_17_39262255_T_C	Pt100	0	1.05194585106672	0	0.746052516369	0	1	0	1.05194585106672	0	0	KRTAP4-9	novel clonal in on	positive selection
Pt100_17_45664593_C_T	Pt100	0	0.82669071841824	0	0.501164641211	0	0.8	0	0.82669071841824	0	0	NPEPPS	novel subclonal in on	positive selection
Pt100_17_45664677_C_T	Pt100	0	0.399008206689392	0	0.206097430309	0	0.3	0	0.399008206689392	0	0	NPEPPS	novel subclonal in on	positive selection
Pt100_18_15323361_C_T	Pt100	0	0.97994482548552	0	0.606123916504	0	1	0	0.97994482548552	0	0	LOC644669	novel clonal in on	positive selection
Pt100_2_230659925_T_G	Pt100	0	0.95704670076756	0	0.664601390092	0	1	0	0.95704670076756	0	1	TRIP12	novel clonal in on	positive selection
Pt100_20_32684617_A_C	Pt100	0	1.0251635195002	0	0.653305936378	0	1	0	1.0251635195002	0	0	EIF2S2	novel clonal in on	positive selection
Pt100_4_83784549_T_A	Pt100	0	0.52605564630404	0	0.263987581803	0	NA	0	0.52605564630404	0	0	SEC31A	novel subclonal in on	positive selection
Pt100_6_31610133_T_G	Pt100	0	0.98532480313284	0	0.697329357842	0	1	0	0.98532480313284	0	0	BAG6	novel clonal in on	positive selection
Pt100_6_32121441_A_G	Pt100	0	1.00522861818808	0	0.669329056145	0	1	0	1.00522861818808	0	0	LOC100507547	novel clonal in on	positive selection
Pt100_7_5352662_G_T	Pt100	0	0.815362306544	0	0.500097522528	0	0.71	0	0.815362306544	0	0	TNRC18	novel subclonal in on	positive selection
